"count"	"b2a"	"b2b"
264	0.493644	0.434675
265	0.33303	0.439187
266	0.522493	0.869642
267	0.791458	0.744355
268	0.474231	0.443506
269	0.476494	0.376227
270	0.280754	0.520893
271	0.777736	0.373421
272	0.663912	0.369044
273	0.872822	0.812462
274	0.770294	0.534938
275	0.726368	0.795391
276	0.493742	0.75417
277	0.507857	0.755919
278	0.609976	0.575202
279	0.434876	0.425719
280	0.46593	0.819883
281	0.191723	0.757837
282	0.65165	0.94124
283	0.629326	0.85568
284	0.438251	0.547703
285	0.343985	0.487529
286	0.840979	0.929736
287	0.921972	0.969811
288	0.56216	0.857475
289	0.501355	-0.028966
290	0.590026	-0.141102
291	0.600735	0.24334
292	0.553838	0.194467
293	1.049514	0.053675
294	0.371153	1.278267
295	0.935469	0.675841
296	0.968868	0.375554
297	0.596045	0.689086
298	0.997086	0.870347
299	1.006174	0.55281
300	0.621746	0.702559
301	0.416708	0.518449
302	0.919134	0.537148
303	0.822542	0.655817
304	0.58502	0.663736
305	0.232704	0.578136
306	0.479416	0.229817
307	0.273747	0.519452
308	0.217519	0.484519
309	0.713672	0.782393
310	0.404896	0.829636
311	0.380996	0.914302
312	0.522924	0.839561
313	0.745678	0.449806
314	0.571139	0.339759
315	0.442047	0.407558
316	0.710893	0.337699
317	0.290072	0.307129
318	0.44304	0.597545
319	0.355251	0.647446
320	1.253093	0.994604
321	0.650122	0.829394
322	0.775795	0.762983
323	1.052679	0.387991
324	0.43795	0.387227
325	0.720508	0.32108
326	0.576594	0.258324
327	0.366877	0.288758
328	0.906511	0.214438
329	0.892524	1.001682
330	0.746165	0.963661
331	0.689592	0.412595
332	0.646817	0.323629
333	0.699614	0.913801
334	0.525856	0.586353
335	0.683173	0.292344
336	0.502794	0.082103
337	0.378155	0.758105
338	0.350337	0.907516
339	0.999162	0.929509
340	0.661437	0.977022
341	0.362726	0.739506
342	1.00301	0.418326
343	0.873181	0.621861
344	0.335596	0.566927
345	0.672795	0.533767
346	0.833087	0.189918
347	0.745274	0.931504
348	0.717074	0.338744
349	0.127326	0.773187
350	0.024176	0.486484
351	0.489725	0.473235
352	0.606183	0.494719
353	0.545547	0.36165
354	0.344061	0.389496
355	0.266672	0.517259
356	0.23176	-0.054097
357	0.280454	-0.010924
358	0.85919	0.670619
359	0.890562	0.594926
360	0.763596	0.530785
361	0.640302	0.265901
362	0.755263	0.532769
363	0.626121	0.644059
364	0.733586	0.40386
365	0.713016	0.31078
366	0.643471	0.785372
367	0.601434	0.51014
368	0.503726	1.008339
369	0.581618	0.55015
370	0.543052	0.452643
371	0.265388	0.245997
372	0.5588	0.749606
373	0.696149	0.807103
374	0.698167	1.001104
375	0.800262	0.747366
376	0.231939	0.800405
377	0.444089	0.689897
378	0.475369	0.58288
379	0.702728	0.95395
380	0.52528	1.075203
381	0.330733	0.386375
382	0.31048	0.466055
383	0.682733	0.184671
384	0.48025	0.288189
385	0.503688	0.576611
386	0.538289	0.691512
387	0.445847	0.465033
