"count"	"b7a"	"b7b"
266	5.474688	3.21039
267	5.437982	3.514519
268	5.226681	3.814105
269	5.476429	3.283946
270	5.191477	2.804982
271	5.728855	4.048516
272	2.786022	4.436998
273	1.328687	3.669038
274	1.832462	3.312918
275	2.236168	2.619752
276	2.184237	2.041572
277	2.498984	2.931078
278	1.768193	3.227038
279	3.031323	3.375286
280	2.675905	3.538225
281	3.589481	3.485153
282	0.279356	4.444873
283	3.916275	3.225516
284	3.761173	3.32212
285	4.720738	3.062585
286	4.165041	3.076808
287	3.612587	3.087744
288	1.758753	3.335125
289	2.044462	3.531053
290	4.803962	3.370764
291	0.993739	3.560638
292	3.936765	3.782847
293	3.271922	3.861017
294	2.074367	3.709899
295	0.329441	4.352704
296	2.888716	4.917856
297	6.150002	4.604196
298	1.019595	4.68788
299	1.087019	3.086155
300	1.339782	4.033341
301	2.961181	4.323568
302	3.036094	4.292881
303	3.065246	4.470325
304	5.52539	4.066076
305	6.089792	4.558334
306	1.429777	6.21672
307	1.600162	5.390643
308	3.211496	3.656947
309	2.253717	3.659226
310	5.990706	3.789537
311	6.016425	3.219585
312	2.011909	3.750265
313	2.080026	3.698919
314	2.756859	3.70838
315	3.416886	3.535361
316	2.391103	3.560557
317	0.694686	3.492567
318	3.648935	3.097443
319	3.678298	3.563329
320	3.545342	3.432097
321	2.008856	3.098526
322	5.223222	3.538947
323	4.615224	2.800991
324	6.129591	2.250131
325	0.557436	2.829817
326	5.24108	2.575309
327	1.999065	3.0508
328	2.549103	3.100332
329	1.605415	2.602335
330	2.474789	2.822194
331	5.421258	2.731674
332	2.424646	3.344652
333	3.50076	2.677248
334	2.788021	3.351816
335	1.999394	3.895567
336	1.381373	4.0747
337	5.540723	3.157761
338	4.193787	2.709563
339	3.967339	2.346431
340	3.445243	4.904496
341	2.610412	4.064952
342	2.566197	4.500617
343	4.631517	4.739267
344	5.027282	4.319616
345	3.670942	4.217922
346	4.731016	4.564567
347	5.086125	4.510997
348	4.665833	4.704644
349	3.355992	3.701627
350	3.58567	0.707495
351	6.015439	2.254484
352	2.849507	2.867468
353	2.804583	5.689031
354	3.385913	2.382216
355	1.421238	3.035028
356	3.253516	5.091778
357	4.795254	4.243114
358	3.758426	3.868228
359	4.608175	4.254517
360	4.842912	4.308182
361	5.372174	2.744201
362	3.786047	2.560614
363	3.111312	4.641988
364	2.570418	2.889792
365	2.335449	3.923615
366	5.920267	2.75467
367	4.0207	2.772716
368	3.660504	3.048285
369	4.016791	3.591042
370	3.267316	2.611044
371	3.206679	2.787688
372	2.884978	2.894102
373	3.431726	2.553047
374	4.69716	2.648474
375	4.572114	3.44005
376	5.13608	3.132951
377	4.353257	3.300948
378	5.2162	2.742426
379	4.535864	2.847852
380	4.157216	3.602516
381	2.46394	3.714413
382	3.594952	2.671117
383	3.914406	3.215406
384	3.997643	4.449867
385	2.721132	3.614049
386	3.208643	3.628259
387	3.185289	5.7163
388	3.52887	3.98811
389	3.810001	4.108843
390	3.799279	1.856405
391	3.574334	4.334903
392	3.340383	3.667497
393	3.17129	4.607765
394	2.447256	3.874114
395	4.488672	3.62941
396	1.576779	2.987626
397	2.321687	2.843283
398	5.80076	2.804899
399	2.822991	2.609335
400	6.059846	2.638199
401	5.99806	1.064043
402	3.782588	6.005684
403	2.830182	2.513864
404	2.516605	4.574838
405	2.309155	4.224267
406	2.173448	4.149629
407	1.666315	4.222193
408	1.247007	3.968465
409	0.528389	4.354536
410	4.690991	3.804119
411	6.149954	4.084883
412	1.766283	4.460024
413	3.315305	4.401955
414	2.080424	5.522223
415	3.563429	4.565474
416	4.466658	5.465114
417	4.493357	6.238135
418	4.31049	0.344749
419	3.05704	1.107291
420	5.568674	1.48548
421	5.057706	1.491361
422	4.889913	1.504337
423	4.454263	1.943598
424	5.412586	2.781024
425	3.998911	0.889185
426	4.434812	4.980685
427	4.590466	0.818869
428	4.496789	5.760155
429	3.901875	5.066812
430	4.434381	5.258287
431	4.655761	3.29829
432	4.64227	3.92686
433	4.358097	5.369412
434	4.254997	2.441686
435	4.16124	0.332272
436	4.090351	3.556893
437	3.357403	3.588462
438	3.085516	4.738254
439	3.227598	4.928419
440	2.595519	5.110614
441	4.568355	5.350735
442	4.87205	1.012186
443	3.483229	1.60227
444	4.995415	3.537875
445	5.035473	4.88515
446	3.844701	4.631107
447	3.899788	4.704401
448	3.3473	5.045418
449	3.194862	4.367218
450	3.624493	4.216755
451	3.552925	3.884264
452	3.656432	3.979846
453	3.073891	4.220039
454	3.231171	4.373145
455	3.763639	3.917178
456	3.900429	3.810992
457	3.980581	4.206054
458	3.145797	4.126768
459	3.107271	3.491143
460	3.713221	3.945484
461	3.793908	3.745323
462	4.150348	2.984566
463	3.669263	2.906317
464	3.792838	3.214311
465	3.711776	3.833299
466	4.228755	3.939338
467	3.655634	4.496021
468	3.32801	4.171537
469	2.872725	4.707616
470	2.356038	4.366501
471	2.561002	4.953471
472	2.700199	4.478141
473	2.645571	4.907034
474	4.467927	5.012986
475	4.677732	4.641641
476	3.17478	5.096872
477	3.14441	5.146031
478	3.866789	5.210222
479	3.338062	5.188073
480	3.19177	5.38425
481	3.467256	5.130019
482	2.217116	5.009185
483	3.941865	4.030809
484	3.995251	4.488883
485	3.909366	4.327485
486	2.807305	3.857677
487	3.857166	5.412997
488	2.576703	4.240325
489	3.010166	4.322085
490	2.594981	5.092748
491	2.215305	3.86428
492	2.345382	5.013246
493	2.988363	3.02782
494	3.055391	3.318574
495	3.471452	3.649198
496	3.805434	3.662528
497	2.908724	3.82707
498	2.993499	3.904037
499	2.630294	3.949899
500	4.118669	4.478971
501	3.310187	4.261591
502	3.43331	4.132388
503	2.82508	3.390313
504	4.298753	4.469498
505	3.042396	4.464278
506	2.647668	4.097439
507	3.549299	4.221357
508	4.848811	4.341233
509	4.799022	4.481774
510	2.419631	4.697196
511	3.066514	3.671623
512	3.788506	3.969541
513	2.897373	4.251494
514	4.407891	4.341157
515	4.627786	4.491484
516	4.975148	4.116773
517	4.737248	4.342785
518	3.196519	4.321763
519	3.155413	4.655389
520	2.178466	4.774498
521	1.805561	5.176624
522	3.671609	4.766862
523	3.784021	4.458869
524	3.775091	4.359671
525	3.987498	5.067623
526	4.507603	4.028694
527	3.160808	4.469932
528	3.826452	3.651849
529	3.185928	3.961674
530	2.790801	3.622839
531	3.149379	4.226211
532	3.441033	4.206112
533	3.375011	4.00353
534	2.455454	3.937947
535	4.285669	4.248898
536	5.190543	3.571581
537	3.263243	3.547232
538	3.436623	3.867094
539	3.379218	3.79102
540	3.632047	3.976654
541	4.67001	4.005215
542	1.733372	4.22452
543	3.646013	4.653583
544	3.804224	5.164415
545	3.864704	4.840147
546	3.783306	4.685195
547	4.039876	4.720553
548	4.202906	3.849891
549	3.346718	4.364467
550	3.90236	3.529935
551	3.737864	5.074231
552	3.451806	4.778444
553	4.21291	5.359433
554	3.606149	3.998808
555	3.583722	3.751058
556	3.40945	5.159659
557	3.971899	3.776595
558	3.366108	3.592637
559	3.754668	4.302013
560	3.460578	3.59353
561	3.061657	3.961398
562	3.310383	4.117028
563	3.285317	3.68328
564	3.31373	4.65669
565	3.571124	4.733174
566	3.263736	5.627466
567	3.386759	5.567096
568	2.716174	5.631639
569	2.503546	5.605703
570	2.342638	5.360818
571	2.968309	4.691018
572	3.086101	5.194968
573	2.824971	5.58267
574	4.254148	3.682348
575	4.0585	1.128573
576	3.728793	2.473636
577	3.345885	2.431306
578	4.796448	3.203888
579	4.910155	5.41054
580	4.627488	1.157862
581	3.324404	2.703495
582	3.817339	0.795292
583	3.360593	4.45489
584	3.525378	4.450689
585	3.693627	4.404945
586	3.50881	1.217707
587	3.237312	6.020533
588	3.407606	3.580783
589	3.945174	6.165478
590	3.908355	4.829917
591	3.80661	4.629374
592	3.287616	4.005972
593	4.729207	4.66977
594	3.245419	0.252423
595	4.917732	5.984941
596	5.1645	0.209082
597	4.124168	4.741818
598	3.295465	5.588332
599	3.461687	5.170377
600	3.616368	5.070036
601	3.507416	5.151864
602	4.291552	5.314972
603	4.376154	4.262987
604	2.271223	4.792922
605	2.415669	5.771919
606	2.469249	5.138614
607	2.61151	4.517083
608	2.371866	4.440627
609	3.217331	3.691321
610	4.101404	4.315243
611	4.328709	3.923871
612	3.04574	4.939635
613	3.017562	3.307592
614	3.318466	3.792468
615	3.249945	4.212389
616	3.501989	3.790236
617	3.42353	4.410082
618	3.822429	5.003555
619	3.640644	5.225423
620	3.868517	5.144525
621	3.357438	4.554337
622	4.322246	4.125344
623	3.041554	4.57645
624	3.976829	4.111791
625	3.963052	4.665202
626	3.728086	3.965537
627	4.49803	2.793113
628	3.484778	3.030041
629	4.550295	0.58847
630	4.208326	0.545217
631	4.063841	5.153815
632	4.414025	3.348987
633	3.871782	4.667325
634	4.304885	0.130891
635	3.881272	0.763486
636	3.910778	2.765279
637	5.045074	0.042276
638	3.699504	6.217183
639	3.991357	6.118398
640	4.277921	0.289713
641	4.394331	0.131607
642	3.964421	1.881692
643	4.226249	2.037059
644	4.293612	2.648297
645	4.798561	2.311358
646	4.455933	2.123518
647	4.22543	2.127765
648	4.570394	1.805773
649	4.004551	1.905004
650	4.210942	1.777112
651	4.355565	2.038263
652	4.31614	1.779604
653	4.164603	1.904662
654	4.890796	2.790736
655	3.862138	2.691747
656	3.456759	2.081757
657	3.866665	2.113171
658	2.722822	1.733385
659	2.681943	2.005615
660	4.099662	2.249249
661	4.372465	2.683613
662	4.345774	3.289413
663	3.93712	3.714667
664	3.624275	4.591107
665	3.774124	1.958839
666	3.64225	1.883528
667	3.927681	1.179076
668	3.48455	1.612531
669	3.910273	2.035749
670	3.713822	3.790988
671	4.223989	5.175468
672	4.035505	3.18138
673	4.206292	5.777615
674	4.048605	4.10488
675	4.623896	0.277627
676	4.521964	0.488107
677	4.478193	2.227329
678	4.478671	5.673883
679	4.365328	0.139317
680	3.47445	5.776224
681	3.861061	2.146335
682	4.395679	1.50297
683	3.480537	0.742551
684	3.828093	1.18849
685	4.162483	1.792617
686	3.204344	4.039279
687	3.517073	1.635249
688	3.285431	2.320548
689	3.076926	6.018746
690	3.011701	0.531129
691	2.53626	1.171173
692	2.77282	3.552986
693	2.751055	3.765821
694	3.004517	2.010061
695	2.890575	2.296095
696	2.569128	1.079715
697	3.393827	4.517655
698	3.273147	0.683823
699	3.320481	4.586046
700	3.790622	0.43164
701	3.133525	2.924171
702	3.13745	4.958984
703	3.189667	2.543216
704	4.169831	1.896346
705	4.302365	0.760458
706	3.749251	2.964116
707	3.609973	0.488142
708	4.020246	2.435595
709	4.075237	5.62911
710	2.38632	5.024431
711	3.360808	5.144311
712	3.433135	5.087219
713	2.545209	5.003755
714	1.068741	4.691931
715	2.932853	4.104607
716	3.299875	3.185451
717	4.551005	4.006577
718	3.001743	1.528199
719	3.572921	2.551851
720	2.851531	2.715757
721	3.721091	3.308499
722	4.168055	2.459317
723	3.557089	2.438443
724	3.74042	3.760991
725	3.660147	3.814821
726	3.32259	3.778425
727	3.178165	3.458759
728	2.921374	2.972895
729	4.205323	2.344239
730	4.051705	2.755149
731	4.077339	2.053164
732	3.994384	3.085404
733	4.042922	2.040689
734	3.803303	2.810211
735	4.246241	2.996102
736	4.064441	1.461802
737	4.102375	1.100398
738	3.981521	6.038707
739	4.480521	2.009223
740	4.395557	4.014439
741	3.765222	4.256746
742	3.970257	3.943676
743	3.850793	3.827499
744	3.370863	4.420159
745	3.461357	4.505652
746	2.995523	4.328651
747	3.262391	4.924685
748	3.599911	4.414729
749	3.984191	5.212559
750	3.754686	4.504794
751	3.514796	4.413871
752	2.821122	4.069367
753	3.694173	4.284409
754	3.843342	3.598985
755	3.338823	4.146416
756	3.728106	4.889953
757	3.659947	5.47765
758	4.566715	2.890173
759	3.10858	4.646682
760	3.536425	3.971134
761	3.502492	3.281436
762	3.491407	3.046118
763	3.752238	3.04984
764	3.63195	3.284759
765	3.61144	3.679213
766	3.513996	3.227501
767	3.192483	2.776268
768	2.939548	3.613972
769	3.100578	3.63194
770	5.527651	3.745139
771	3.860889	3.517503
772	3.889286	3.324451
773	3.369763	3.474126
774	4.037488	3.45479
775	4.192868	4.172115
776	4.368173	3.93834
777	4.37684	4.288661
778	4.457654	4.000401
779	4.089252	3.447235
