"count"	"b2a"	"b2b"
265	0.89739	1.236595
266	1.040597	1.076243
267	1.000497	0.892834
268	0.972725	0.849087
269	1.014984	1.176163
270	1.036768	0.875094
271	0.994792	1.204777
272	0.766437	0.75276
273	0.950224	1.220131
274	0.91339	0.899355
275	0.884506	1.103508
276	1.037088	1.085349
277	0.962031	1.082268
278	1.029232	1.08391
279	1.168479	1.053801
280	1.154831	0.949469
281	0.913097	1.069055
282	1.1895	1.011072
283	0.785629	1.044973
284	1.19696	0.975491
285	0.946009	1.130675
286	1.167652	1.010072
287	0.966602	1.018427
288	1.025111	0.994986
289	1.04677	1.090377
290	0.947322	1.052244
291	0.95001	0.882839
292	0.896204	0.996175
293	1.011745	1.007533
294	0.903263	1.011452
295	1.131635	0.987745
296	1.25073	0.963907
297	0.864781	1.032871
298	1.176667	1.121366
299	0.938684	1.13851
300	0.959001	1.099494
301	0.926295	0.971671
302	1.057532	0.777673
303	0.904519	1.070726
304	1.044073	0.959194
305	1.259992	1.04103
306	1.055241	1.190619
307	1.450089	0.88112
308	0.942832	0.952856
309	1.134687	1.020032
310	1.457037	1.062828
311	0.938411	0.776671
312	1.174189	1.013355
313	0.813501	0.871116
314	1.332815	0.935031
315	1.381553	1.017009
316	1.271689	1.020432
317	0.824557	1.149478
318	0.972808	1.140704
319	1.020633	0.97803
320	1.042272	1.063558
321	0.942042	1.07949
322	1.110465	0.932691
323	0.929331	0.983962
324	1.004294	1.015224
325	0.822712	1.052514
326	0.891744	1.082326
327	0.920095	0.979618
328	1.039364	1.133743
329	0.859688	1.056999
330	1.031869	1.021006
331	1.04656	0.88639
332	0.955242	1.121447
333	1.020516	1.067146
334	1.090651	0.992212
335	1.075918	0.893136
336	1.127869	1.21778
337	0.99455	0.829846
338	0.917362	0.877845
339	0.98835	1.187455
340	0.987596	0.643537
341	1.039434	0.692679
342	1.155564	1.030508
343	0.973143	0.880526
344	0.922223	0.895056
345	1.000052	1.219655
346	1.018826	1.016479
347	1.079312	1.208334
348	1.070304	1.101479
349	0.965229	1.122798
350	1.105653	0.972027
351	0.817547	1.107885
352	0.99418	1.347931
353	1.065696	1.378489
354	1.272178	0.919099
355	1.371398	1.131159
356	1.226937	1.102738
357	1.106944	1.08866
358	1.032138	1.12003
359	1.014527	0.892059
360	1.114366	1.121223
361	0.729798	1.126868
362	0.933989	1.105668
363	0.80336	1.07594
364	0.972461	1.086829
365	0.833945	0.879446
366	1.066883	1.081101
367	0.995289	1.081256
368	1.14724	0.991029
369	1.082502	1.066432
370	0.956973	0.8913
371	1.038438	0.890915
372	1.143668	1.050219
373	0.95299	0.843689
374	0.92293	0.875859
375	1.293691	1.039196
376	0.615337	1.146453
377	0.764744	1.021333
378	0.917954	1.130749
379	0.909978	1.015526
380	1.093882	0.982746
381	1.426154	0.922008
382	1.118454	0.84743
383	1.167844	0.882159
384	0.94089	0.794948
385	0.945146	0.799617
386	1.024539	1.184705
387	1.001086	1.265425
388	1.06277	1.101915
389	0.960376	1.167177
390	0.912878	1.092698
391	1.204529	1.054267
392	0.714925	0.964385
393	1.062733	1.022974
394	0.709392	1.055612
395	0.878884	1.021355
396	0.765219	1.075858
397	1.012816	1.00768
398	1.114061	1.191655
399	1.321173	0.899053
400	0.934434	1.121444
401	0.809431	1.105205
402	0.812401	0.864395
403	0.86779	0.920353
404	1.055301	1.004534
405	0.997475	1.08001
406	1.011739	1.123886
407	1.214873	1.071683
408	1.102409	1.100832
409	1.086151	0.872696
410	1.000042	1.123891
411	1.042515	0.941239
412	1.005135	0.988002
413	1.001318	0.977567
414	0.982168	0.964811
415	1.156884	1.047867
416	0.85657	1.210305
417	0.917058	1.395492
418	0.802618	1.426447
419	1.103395	0.723143
420	1.019652	1.176117
421	1.04101	1.082971
422	1.109857	1.203727
423	0.946426	0.948582
424	0.935583	1.013999
425	1.221272	0.96327
426	0.867967	1.024449
427	1.089602	0.97144
428	1.00615	0.834904
429	0.810632	1.220673
430	0.978218	0.910274
431	1.317547	0.941847
432	1.043469	1.147473
433	1.061578	0.815309
434	0.822819	1.160537
435	0.859681	1.070506
436	1.077747	1.284976
437	1.040141	0.969792
438	1.076239	0.985811
439	0.847868	1.120042
440	0.938626	0.994738
441	0.953156	1.043314
442	1.012818	1.144439
443	0.985074	0.884606
444	1.02698	0.878275
445	1.052412	1.174869
446	1.090835	0.873537
447	0.990048	1.135073
448	1.046534	1.097335
449	0.956422	0.949163
450	0.974347	1.141991
451	0.981694	0.74965
452	1.172966	1.19568
453	0.938398	1.137604
454	1.051867	0.87825
455	1.213334	0.777874
456	0.71076	0.878775
457	1.124689	1.096775
458	0.825141	1.01464
459	0.751346	0.940868
460	1.397625	0.835844
461	1.002436	1.070326
462	0.947641	0.866358
463	0.918642	1.109702
464	1.036619	0.973477
465	0.959652	1.036311
466	0.912099	1.162085
467	0.829389	0.892411
468	1.027948	0.879405
469	0.97214	0.928596
470	0.886862	0.99844
471	1.000878	1.120367
472	1.066859	1.145747
473	1.112487	0.878111
474	0.97552	1.136841
475	0.983701	1.13511
476	0.986472	0.888022
477	1.060273	0.994291
478	0.948953	0.951213
479	1.048984	0.961058
480	0.989689	0.948373
481	1.045123	1.05543
482	0.80653	1.146193
483	0.793692	0.897357
484	1.205312	0.742167
485	0.914526	0.855159
486	1.178264	0.872522
487	0.820582	0.997001
488	0.876052	0.938947
489	0.841554	1.011085
490	1.074514	1.105944
491	1.00999	1.088482
492	1.102565	1.036184
493	0.867132	0.989603
494	0.803035	0.999142
495	1.22904	1.151777
496	0.887376	1.088882
497	1.025941	1.005605
498	0.992778	0.978339
499	1.200489	0.91802
500	0.996766	0.978477
501	1.059746	1.030651
502	1.083353	0.386739
503	0.909205	0.799793
504	0.955176	0.684186
505	0.926605	0.493299
506	1.065834	0.756056
507	0.966648	0.975108
508	1.105306	0.89394
509	0.938625	0.787272
510	1.007745	1.191913
511	0.783971	1.017008
512	1.198869	1.049758
513	0.789151	1.291469
514	1.198801	0.748458
515	1.148157	1.314162
516	1.060285	0.930058
517	0.750573	1.109901
518	1.260252	0.963506
519	1.079787	0.929972
520	0.840393	0.832134
521	1.169552	0.609299
522	0.714563	1.03913
523	1.174774	0.952942
524	1.055859	0.893294
525	1.05127	1.322022
526	0.948852	0.943063
527	1.037234	1.015518
528	0.813873	1.028587
529	0.943083	0.992224
530	0.763634	0.998364
531	0.783188	1.003205
532	0.99331	1.082111
533	1.075464	1.348407
534	0.916287	0.840422
535	0.992817	1.112753
536	1.026192	0.734194
537	0.907969	1.061843
538	1.060504	1.255384
539	1.000142	0.907142
540	1.215849	1.077685
541	0.707972	0.882637
542	0.769013	0.981803
543	0.791777	0.969384
544	1.135549	1.082766
545	1.048016	0.998945
546	0.959483	1.110495
547	0.866787	0.949104
548	0.899772	1.037513
549	0.929467	0.895837
550	1.102473	1.233516
551	1.093735	1.100217
552	0.965316	1.212287
553	1.051527	1.301904
554	0.971789	1.051279
555	1.062189	0.952454
556	1.103859	0.99823
557	0.999146	1.005076
558	1.020442	1.087387
559	1.171482	1.073161
560	0.912885	1.078847
561	0.951683	0.92613
562	1.062341	0.941614
563	1.085713	1.274798
564	1.05775	1.104924
565	0.969172	0.971966
566	0.825493	1.00206
567	1.052221	1.119997
568	0.988183	0.939754
569	1.072574	1.180355
570	0.853835	1.091508
571	1.121053	0.929471
572	0.988134	0.955514
573	0.986197	1.093175
574	1.196474	1.135077
575	1.153931	1.177065
576	0.781688	0.780972
577	1.302852	0.830988
578	1.075753	1.146687
579	0.815925	1.114814
580	0.839617	1.146687
581	1.215978	0.959774
582	1.325017	1.196864
583	1.324635	0.935922
584	0.627081	1.008618
585	1.279143	0.986742
586	1.218736	0.88113
587	1.374944	0.940857
588	1.334298	1.016076
589	0.729752	1.17801
590	0.732361	1.210989
591	1.206535	0.851317
592	0.992823	1.082287
593	0.998755	1.166144
594	1.171057	0.798417
595	0.877642	0.884478
596	1.045658	1.050743
597	1.05819	1.038615
598	1.030624	0.801818
599	1.140856	0.808683
600	1.140363	1.05527
601	0.906567	1.024405
602	1.174026	1.046933
603	1.091932	1.13076
604	1.012701	1.1548
605	1.047382	0.998013
606	0.96976	1.09274
607	0.944312	0.961095
608	0.83211	1.073378
609	1.110613	0.973874
610	1.074558	0.987569
611	1.188219	1.093848
612	1.004955	0.986155
613	1.031437	0.808722
614	1.01078	0.765462
615	1.118992	0.802428
616	1.172804	1.052724
617	0.931505	0.9008
618	0.937027	1.131749
619	1.160673	0.943945
620	1.011046	0.892299
621	1.173082	1.086832
622	0.731504	0.940155
623	1.112203	0.915199
624	0.996105	1.242256
625	1.022315	1.169381
626	1.199206	1.218978
627	1.017259	1.197788
628	1.035303	0.968187
629	1.005959	1.297704
630	0.870181	1.014902
631	0.959553	1.144023
632	1.245559	1.002321
633	0.911085	1.038561
634	0.948566	1.251354
635	0.912328	0.81168
636	1.005347	0.844301
637	0.993277	1.099882
638	1.447212	0.879415
639	1.508328	1.167784
640	1.563479	1.199186
641	0.752631	0.824295
642	1.257094	1.227217
643	0.889935	1.275441
644	1.081507	0.888624
645	1.227502	0.784847
646	1.112081	0.882859
647	0.883501	1.332699
648	1.168292	0.734168
649	1.106772	1.302708
650	1.126844	1.426062
651	1.094558	1.256054
652	1.126271	1.293407
653	0.987983	0.986331
654	0.916833	0.854703
655	0.899066	1.151385
656	1.140465	1.033889
657	1.113368	0.926186
658	1.074067	1.08171
659	1.208178	1.122479
660	1.034581	1.09638
661	0.999673	1.073112
662	1.081739	0.995596
663	0.8266	1.015249
664	1.082981	1.058441
665	0.825938	1.206874
666	1.133445	0.841413
667	0.917963	1.022982
668	0.994917	0.967327
669	0.886971	1.08093
670	0.919692	1.060297
671	1.069311	1.152719
672	0.920188	1.281107
673	1.033724	1.143948
674	0.747421	1.024157
675	0.995599	1.012841
676	1.255204	0.91042
677	0.707848	1.001272
678	1.037605	0.872665
679	0.937698	1.093863
680	1.099475	1.00992
681	0.669768	1.016777
682	1.026844	1.137309
683	1.149832	1.034708
684	1.058277	1.055173
685	1.127109	0.82136
686	0.988803	1.3374
687	0.958324	0.668066
688	0.962435	0.784953
689	0.826492	1.171386
690	1.0913	1.090846
691	0.952363	1.122613
692	1.028139	1.133796
693	0.92414	0.762554
694	0.700682	1.192146
695	1.287547	0.915113
696	0.977312	1.099742
697	1.053363	1.035296
698	1.022881	1.050791
699	0.923164	0.950449
700	1.087019	1.109212
701	1.064541	0.81862
702	1.029269	0.850713
703	1.043475	1.088117
704	1.072233	1.012837
705	0.89592	1.101677
706	0.852274	1.118886
707	1.326074	1.025173
708	1.021199	1.192418
709	1.160331	1.022108
710	0.852121	0.968671
711	1.157683	1.142128
712	0.714104	1.048592
713	0.909762	0.954743
714	0.879769	0.983606
715	1.044079	0.94916
716	1.064727	0.911636
717	1.06445	1.003197
718	1.143831	1.00595
719	1.048605	1.014249
720	0.965398	1.032968
721	0.854012	0.954105
722	0.937687	0.89711
723	1.003322	0.847376
724	1.092699	1.14837
725	1.036419	1.120119
726	0.948601	1.056797
727	0.911161	1.121642
728	0.930482	1.064451
729	0.922194	1.186069
730	0.787186	0.961676
731	0.939846	1.135825
732	1.145096	0.91676
733	0.762357	0.980804
734	1.010978	0.960311
735	0.871325	0.900623
736	1.036179	0.815681
737	0.6983	0.995275
738	1.24349	0.943842
739	0.768765	0.72533
740	1.020425	1.088419
741	0.681706	1.126386
742	0.883496	0.974593
743	1.350121	0.967624
744	0.867786	1.065584
745	0.859376	0.946131
746	1.148521	0.916556
747	1.083181	1.064734
748	1.02489	0.967697
749	1.143876	0.965841
750	1.209619	1.134206
751	0.886304	1.054223
752	1.179962	1.189318
753	1.183831	0.952562
754	1.170633	0.954867
755	1.17122	1.142792
756	1.127662	1.148712
757	1.015551	1.114275
758	0.96305	1.062969
759	1.279369	1.113414
760	0.922562	1.104243
761	1.026332	1.10826
762	0.936078	1.066245
763	0.994187	0.936052
764	0.86909	0.945039
765	0.961755	1.09239
766	1.251749	1.074591
767	0.89832	1.060603
768	1.219429	0.945279
769	1.241357	1.034546
770	0.88376	1.135228
771	0.918143	0.95942
772	0.758809	1.181677
773	1.043203	0.828085
774	0.948981	1.185753
775	1.217576	1.041547
776	0.764383	1.021503
777	0.828964	1.186867
778	0.933712	1.090366
779	1.438223	0.922602
780	0.865464	0.933815
781	0.918818	1.019378
782	0.732518	1.35851
783	1.144118	0.790256
784	0.958287	1.335857
785	0.86191	1.383366
786	1.417319	1.004961
787	0.943188	0.819701
788	0.868881	1.233694
