"count"	"b2a"	"b2b"
252	0.387964	0.30031
253	0.33234	0.274369
254	0.357393	0.86672
255	0.470038	0.673349
256	-0.129231	0.608905
257	-0.069972	-0.094481
258	0.120458	0.161655
259	0.033495	0.705887
260	0.364265	0.952683
261	0.508357	-0.093857
262	0.708542	-0.082715
263	0.496313	0.919322
264	0.797471	1.409684
265	0.882454	-0.459986
266	0.523527	0.777834
267	0.850441	1.249205
268	0.535102	0.526975
269	-0.125286	0.318162
270	0.126148	0.926164
271	0.913892	0.759767
272	0.563998	0.723379
273	0.919077	0.352313
274	0.086727	0.387486
275	0.006571	0.073412
276	0.767821	0.68278
277	0.964465	0.628954
278	-0.427853	0.549477
279	0.437678	0.143769
280	0.120858	0.057256
281	0.955055	0.135664
282	-0.502641	0.449362
283	0.29622	-0.323664
284	0.350076	0.918983
285	0.215872	-0.139439
286	0.99355	0.948084
287	0.103847	0.756076
288	1.237281	0.681964
289	-0.483974	0.171003
290	0.00562	0.428992
291	0.249693	0.727975
292	-0.154936	0.546683
293	0.375394	0.500917
294	-0.067909	0.542486
295	0.107677	0.588528
296	-0.39123	0.528113
297	0.334875	0.531459
298	0.662062	0.226091
299	1.12715	0.390813
300	0.223939	0.578029
301	0.449946	0.031439
302	0.456412	0.406112
303	-2.028043	0.389907
304	-1.628703	0.746196
305	-1.621455	0.827506
306	2.193428	0.338438
307	1.994292	0.295345
308	-1.371116	-0.224968
309	0.918122	0.10803
310	-0.025027	1.064809
311	-0.078516	0.050973
312	0.62265	-0.028552
313	0.525649	-0.061763
314	0.271307	0.105192
315	0.024017	0.112178
316	-0.116902	0.101216
317	-0.258368	-0.119704
318	0.276331	0.162838
319	0.516973	0.776697
320	0.191148	0.52994
321	1.016639	0.082193
322	-0.073999	0.012417
323	1.027346	-0.006847
324	-0.051953	0.439981
325	0.985208	0.862705
326	0.941228	0.661419
327	0.236877	0.309363
328	0.919001	0.366264
329	0.537722	0.547259
330	0.435254	0.705372
331	0.35463	1.095721
332	0.298971	-0.239131
333	0.30874	0.850257
334	0.306329	0.129998
335	0.582398	0.205401
336	0.701002	-0.020836
337	-0.329013	0.226751
338	0.545909	-0.207589
339	0.447512	0.663565
340	0.124777	-0.190136
341	0.430437	0.687435
342	0.327987	1.145037
343	0.619243	1.065309
344	1.251722	0.545079
345	1.212884	0.636337
346	0.748791	0.078925
347	0.36147	0.796653
348	-0.141409	0.404599
349	0.23186	0.305507
350	0.655341	0.464876
351	0.60073	-0.081565
352	0.248484	0.294713
353	0.58047	0.980691
354	0.673436	-0.110409
355	0.633673	-0.082485
356	0.680179	0.454054
357	0.274352	0.18604
358	0.470604	0.217097
359	0.850325	0.409362
360	0.665683	0.734705
361	0.464107	0.621515
362	0.773407	1.151575
363	-0.580551	0.634903
364	1.734049	0.20771
365	1.906387	0.713313
366	0.985678	0.783652
367	-0.713202	0.582666
368	0.532678	0.048276
369	0.08563	0.31414
370	-0.180553	0.240207
371	-0.027752	0.481151
372	0.33774	0.359283
373	-0.014814	0.312846
374	-0.092697	0.666192
375	0.017102	0.308914
376	-0.057311	0.443676
377	-0.022675	0.647339
378	-0.029926	0.631499
379	0.215843	0.632015
380	0.321619	0.345564
381	1.151576	0.331367
382	0.879568	1.09486
383	0.313886	1.257594
384	0.579221	0.321232
385	0.199946	0.979235
386	0.213537	0.123498
387	0.202035	0.215599
388	0.15569	0.063214
389	0.376987	0.060536
390	0.343316	0.818426
391	0.318721	-0.416595
392	0.054125	-0.075892
393	0.09468	1.095845
394	0.235028	0.955718
395	0.002899	0.577057
396	-0.007467	0.663854
397	1.24963	0.555145
398	0.670972	-0.061557
399	-1.285573	-0.151965
400	1.26682	0.163925
401	-0.044409	0.565878
402	0.087834	-1.391809
403	0.481108	-0.492226
404	0.744357	-1.330897
405	0.907633	-1.53096
406	0.808522	-4.288145
407	0.212347	2.905882
408	0.108264	2.600656
409	0.1782	2.732223
410	0.479894	3.759771
411	0.77149	10.522513
412	0.15249	6.105976
413	0.443923	3.745677
414	0.283613	2.215241
415	-0.00708	-0.248033
416	-0.18519	2.585292
417	0.776733	2.837891
418	0.603811	4.801812
419	0.412297	-0.133223
420	0.466914	-0.436276
421	0.336484	-0.007176
422	0.590759	-0.818675
423	0.301075	1.099068
424	0.310455	1.479703
425	1.700867	5.295841
426	-0.791277	9.837153
427	-0.521849	6.615444
428	-0.521002	-11.595843
429	-0.457705	-5.237388
430	0.037523	-6.138834
431	-0.964772	-5.854229
432	0.958588	-5.818912
433	1.080073	-7.262094
434	0.416311	-7.51226
435	1.160207	-7.515126
436	0.917838	-7.622207
437	-0.034644	-7.078193
438	0.112064	5.023513
439	-0.255233	4.036016
440	-0.235249	3.724987
